Time [s],Value,Parity Error,Framing Error
12.4838572500,0x01,,
12.4839024375,0x05,,
12.4839614375,0x00,,
12.4840066250,0x01,,
12.4840517500,0x00,,
12.4841073125,0x00,,
12.4841524375,0x0A,,
12.4841976250,0x9C,,
12.5485121875,0x01,,
12.5485573750,0x05,,
12.5486163750,0x00,,
12.5486615625,0x00,,
12.5487066875,0xFF,,
12.5487657500,0x00,,
12.5488108750,0x3A,,
12.5488560000,0x8C,,
12.6130143125,0x01,,
12.6130595000,0x06,,
12.6131185000,0x00,,
12.6131636875,0x01,,
12.6132088125,0x00,,
12.6132643750,0x0A,,
12.6133095000,0x0D,,
12.6133546875,0x58,,
12.6775164375,0x01,,
12.6775616250,0x05,,
12.6776206250,0x00,,
12.6776658125,0x01,,
12.6777109375,0xFF,,
12.6777665000,0x00,,
12.6778116875,0xFA,,
12.6778568125,0xDD,,
12.7429701875,0x01,,
12.7430153125,0x06,,
12.7430743750,0x00,,
12.7431195000,0x03,,
12.7431646875,0x00,,
12.7432236875,0x28,,
12.7432688750,0xD4,,
12.7433140000,0x79,,
12.8073576875,0x01,,
12.8074028750,0x06,,
12.8074618750,0x00,,
12.8075070625,0x04,,
12.8075521875,0x0F,,
12.8076112500,0xDC,,
12.8076563750,0x62,,
12.8077015000,0xCC,,
12.8718598125,0x01,,
12.8719050000,0x06,,
12.8719640000,0x00,,
12.8720091875,0x28,,
12.8720543125,0x41,,
12.8721098750,0x20,,
12.8721550625,0x4A,,
12.8722001875,0x38,,
12.9363758750,0x01,,
12.9364210000,0x06,,
12.9364800625,0x00,,
12.9365251875,0x29,,
12.9365703750,0xA7,,
12.9366293750,0x98,,
12.9366745625,0x98,,
12.9367196875,0x23,,
13.0007773125,0x01,,
13.0008224375,0x06,,
13.0008780000,0x00,,
13.0009231250,0x2A,,
13.0009683125,0x40,,
13.0010238750,0xD0,,
13.0010690000,0x5E,,
13.0011141250,0x98,,
13.0653106875,0x01,,
13.0653558125,0x06,,
13.0654148750,0x00,,
13.0654600000,0x2B,,
13.0655051250,0x2C,,
13.0655607500,0x18,,
13.0656058750,0x08,,
13.0656510000,0xE5,,
13.1297120625,0x01,,
13.1297572500,0x06,,
13.1298162500,0x00,,
13.1298614375,0x2C,,
13.1299065625,0x40,,
13.1299621250,0xA2,,
13.1300073125,0x7A,,
13.1300524375,0xF8,,
13.1941864375,0x01,,
13.1942315625,0x06,,
13.1942871250,0x00,,
13.1943323125,0x2D,,
13.1943774375,0xEA,,
13.1944365000,0xDB,,
13.1944816250,0xF8,,
13.1945268125,0x16,,
13.2587128750,0x01,,
13.2587580625,0x06,,
13.2588136250,0x00,,
13.2588587500,0x2E,,
13.2589038750,0x40,,
13.2589594375,0x87,,
13.2590046250,0x61,,
13.2590497500,0x98,,
13.3231177500,0x01,,
13.3231629375,0x06,,
13.3232219375,0x00,,
13.3232671250,0x2F,,
13.3233122500,0xC3,,
13.3233678125,0xB6,,
13.3234130000,0x45,,
13.3234581250,0x69,,
13.3875921250,0x01,,
13.3876372500,0x06,,
13.3876963125,0x00,,
13.3877414375,0x30,,
13.3877866250,0x40,,
13.3878456250,0x74,,
13.3878908125,0x22,,
13.3879359375,0xB8,,
13.4520908125,0x01,,
13.4521359375,0x06,,
13.4521915000,0x00,,
13.4522366250,0x31,,
13.4522818125,0x60,,
13.4523373750,0x48,,
13.4523825000,0x33,,
13.4524276875,0xF0,,
13.5165963750,0x01,,
13.5166415625,0x06,,
13.5167005625,0x00,,
13.5167457500,0x32,,
13.5167908750,0x40,,
13.5168464375,0x59,,
13.5168915625,0xFF,,
13.5169367500,0xD9,,
13.5809978125,0x01,,
13.5810429375,0x06,,
13.5811020000,0x00,,
13.5811471250,0x33,,
13.5811923125,0x39,,
13.5812513125,0x24,,
13.5812965000,0x8E,,
13.5813416250,0x6B,,
25.5590363750,0x01,,
25.5590815000,0x13,,
25.5591405625,0x77,,
25.5591856875,0xFF,,
25.5592308125,0x80,,
25.5593419375,0x00,,
25.5595746250,0x77,,
25.5596198125,0x00,,
25.5596788125,0x0D,,
25.5597240000,0x00,,
25.5597691250,0x12,,
25.5598698750,0x00,,
25.5601060000,0x15,,
25.5601511250,0x00,,
25.5602066875,0x19,,
25.5602518750,0x00,,
25.5602970000,0x26,,
25.5604011875,0x00,,
25.5606373750,0x31,,
25.5606825000,0x00,,
25.5607380625,0x3F,,
25.5607832500,0x00,,
25.5608283750,0x4E,,
25.5609325625,0x00,,
25.5611686875,0x5C,,
25.5612138750,0x00,,
25.5612694375,0x6C,,
25.5613145625,0x00,,
25.5613597500,0x7E,,
25.5614673750,0x00,,
25.5617000625,0x90,,
25.5617451875,0x00,,
25.5618007500,0xA0,,
25.5618459375,0x00,,
25.5618910625,0xB7,,
25.5619952500,0x01,,
25.5622314375,0x2D,,
25.5622765625,0x01,,
25.5623321250,0xE3,,
25.5623772500,0x03,,
25.5624224375,0xFF,,
25.5625300625,0xA3,,
25.5627627500,0x82,,
25.5628079375,0x00,,
25.5628635000,0x00,,
25.5629086250,0xA3,,
25.5629537500,0x82,,
25.5630579375,0x00,,
25.5632941250,0x00,,
25.5633392500,0x34,,
25.5633948125,0xB2,,
25.5634400000,0x0E,,
25.5634851250,0x00,,
25.5635928125,0xCF,,
25.5638255000,0x66,,
25.5638706250,0xF5,,
25.5639261875,0x00,,
25.5639713125,0x30,,
25.5640165000,0xBE,,
25.5641206875,0xF5,,
25.5643568125,0x00,,
25.5644020000,0x4C,,
25.5644575625,0xF8,,
25.5645026875,0xF5,,
25.5645478125,0x00,,
25.5646555000,0x60,,
25.5648881875,0x8B,,
25.5649333125,0x00,,
25.5649888750,0x00,,
25.5650340625,0x18,,
25.5650791875,0x4B,,
25.5651833750,0xFE,,
25.5654195625,0x00,,
25.5654646875,0x3B,,
25.5655202500,0xE7,,
25.5655653750,0x04,,
25.5656105625,0x00,,
25.5657181875,0x0D,,
25.5659508750,0x3F,,
25.5659960625,0x05,,
25.5660516250,0x00,,
25.5660967500,0xEF,,
25.5661418750,0x8F,,
25.5662460625,0x07,,
25.5664822500,0x00,,
25.5665273750,0x7D,,
25.5665829375,0x1A,,
25.5666281250,0x0A,,
25.5666732500,0x00,,
25.5667809375,0x44,,
25.5670136250,0x8B,,
25.5670587500,0x0C,,
25.5671143125,0x00,,
25.5671594375,0xD4,,
25.5672046250,0xBF,,
25.5673088125,0x11,,
25.5675449375,0x00,,
25.5675901250,0xCC,,
25.5676456875,0x96,,
25.5676908125,0x09,,
25.5677359375,0x00,,
25.5678436250,0x24,,
25.5680763125,0x10,,
25.5681214375,0x0B,,
25.5681770000,0x00,,
25.5682221875,0xDB,,
25.5682673125,0xE9,,
25.5683715000,0x05,,
25.5686076875,0x00,,
25.5686528125,0xC0,,
25.5687083750,0x7E,,
25.5687535000,0x95,,
25.5687986875,0x00,,
25.5689063125,0x0D,,
25.5691390000,0xD1,,
25.5691841875,0x11,,
25.5692397500,0x00,,
25.5692848750,0x00,,
25.5693300000,0x00,,
25.5694341875,0x00,,
25.5696703750,0xFF,,
25.5697155000,0xFF,,
25.5697710625,0x22,,
25.5698162500,0x81,,
25.5877537500,0x01,,
25.5877988750,0x13,,
25.5878544375,0x77,,
25.5878996250,0xFF,,
25.5879447500,0x80,,
25.5879898750,0x00,,
25.5880697500,0x77,,
25.5883059375,0x00,,
25.5883510625,0x0D,,
25.5884066250,0x00,,
25.5884518125,0x12,,
25.5884969375,0x00,,
25.5886011250,0x15,,
25.5888373125,0x00,,
25.5888824375,0x19,,
25.5889380000,0x00,,
25.5889831250,0x26,,
25.5890283125,0x00,,
25.5891325000,0x31,,
25.5893686250,0x00,,
25.5894138125,0x3F,,
25.5894693750,0x00,,
25.5895145000,0x4E,,
25.5895596250,0x00,,
25.5896673125,0x5C,,
25.5899000000,0x00,,
25.5899451250,0x6C,,
25.5900006875,0x00,,
25.5900458750,0x7E,,
25.5900910000,0x00,,
25.5901951875,0x90,,
25.5904313750,0x00,,
25.5904765000,0xA0,,
25.5905320625,0x00,,
25.5905771875,0xB7,,
25.5906223750,0x01,,
25.5907300000,0x2D,,
25.5909626875,0x01,,
25.5910078750,0xE3,,
25.5910634375,0x03,,
25.5911085625,0xFF,,
25.5911536875,0xA3,,
25.5912578750,0x82,,
25.5914940625,0x00,,
25.5915391875,0x00,,
25.5915947500,0xA3,,
25.5916399375,0x82,,
25.5916850625,0x00,,
25.5917927500,0x00,,
25.5920254375,0x34,,
25.5920705625,0xB2,,
25.5921261250,0x0E,,
25.5921712500,0x00,,
25.5922164375,0xCF,,
25.5923206250,0x66,,
25.5925567500,0xF5,,
25.5926019375,0x00,,
25.5926575000,0x30,,
25.5927026250,0xBE,,
25.5927477500,0xF5,,
25.5928554375,0x00,,
25.5930881250,0x4C,,
25.5931332500,0xF8,,
25.5931888125,0xF5,,
25.5932340000,0x00,,
25.5932791250,0x60,,
25.5933833125,0x8B,,
25.5936195000,0x00,,
25.5936646250,0x00,,
25.5937201875,0x18,,
25.5937653125,0x4B,,
25.5938105000,0xFE,,
25.5939181250,0x00,,
25.5941508125,0x3B,,
25.5941960000,0xE7,,
25.5942515625,0x04,,
25.5942966875,0x00,,
25.5943418125,0x0D,,
25.5944460000,0x3F,,
25.5946821875,0x05,,
25.5947273125,0x00,,
25.5947828750,0xEF,,
25.5948280625,0x8F,,
25.5948731875,0x07,,
25.5949808750,0x00,,
25.5952135000,0x7D,,
25.5952586875,0x1A,,
25.5953142500,0x0A,,
25.5953593750,0x00,,
25.5954045625,0x44,,
25.5955087500,0x8B,,
25.5957448750,0x0C,,
25.5957900000,0x00,,
25.5958456250,0xD4,,
25.5958907500,0xBF,,
25.5959358750,0x11,,
25.5960435625,0x00,,
25.5962762500,0xCC,,
25.5963213750,0x96,,
25.5963769375,0x09,,
25.5964221250,0x00,,
25.5964672500,0x24,,
25.5965714375,0x10,,
25.5968075625,0x0B,,
25.5968527500,0x00,,
25.5969083125,0xDB,,
25.5969534375,0xE9,,
25.5969986250,0x05,,
25.5971062500,0x00,,
25.5973389375,0xC0,,
25.5973840625,0x7E,,
25.5974396875,0x95,,
25.5974848125,0x00,,
25.5975299375,0x0D,,
25.5976341250,0xD1,,
25.5978703125,0x11,,
25.5979154375,0x00,,
25.5979710000,0x00,,
25.5980161875,0x00,,
25.5980613125,0x00,,
25.5981689375,0xFF,,
25.5984016250,0xFF,,
25.5984468125,0x22,,
25.5985023750,0x81,,
26.5880420625,0x01,,
26.5880872500,0x13,,
26.5881428125,0x77,,
26.5881879375,0xFF,,
26.5882331250,0x80,,
26.5882782500,0x00,,
26.5883615625,0x77,,
26.5885942500,0x00,,
26.5886394375,0x0D,,
26.5886984375,0x00,,
26.5887436250,0x12,,
26.5887887500,0x00,,
26.5888895000,0x15,,
26.5891256250,0x00,,
26.5891707500,0x19,,
26.5892263125,0x00,,
26.5892715000,0x26,,
26.5893166250,0x00,,
26.5894208125,0x31,,
26.5896570000,0x00,,
26.5897021250,0x3F,,
26.5897576875,0x00,,
26.5898028750,0x4E,,
26.5898480000,0x00,,
26.5899521875,0x5C,,
26.5901883125,0x00,,
26.5902335000,0x6C,,
26.5902890625,0x00,,
26.5903341875,0x7E,,
26.5903793750,0x00,,
26.5904870000,0x90,,
26.5907196875,0x00,,
26.5907648125,0xA0,,
26.5908203750,0x00,,
26.5908655625,0xB7,,
26.5909106875,0x01,,
26.5910148750,0x2D,,
26.5912510625,0x01,,
26.5912961875,0xE3,,
26.5913517500,0x03,,
26.5913968750,0xFF,,
26.5914420625,0xA3,,
26.5915496875,0x82,,
26.5917823750,0x00,,
26.5918275625,0x00,,
26.5918831250,0xA3,,
26.5919282500,0x82,,
26.5919733750,0x00,,
26.5920775625,0x00,,
26.5923137500,0x34,,
26.5923588750,0xB2,,
26.5924144375,0x0E,,
26.5924596250,0x00,,
26.5925047500,0xCF,,
26.5926124375,0x66,,
26.5928451250,0xF5,,
26.5928902500,0x00,,
26.5929458125,0x30,,
26.5929909375,0xBE,,
26.5930361250,0xF5,,
26.5931403125,0x00,,
26.5933764375,0x4C,,
26.5934216250,0xF8,,
26.5934771875,0xF5,,
26.5935223125,0x00,,
26.5935674375,0x60,,
26.5936751250,0x8B,,
26.5939078125,0x00,,
26.5939529375,0x00,,
26.5940085000,0x18,,
26.5940536875,0x4B,,
26.5940988125,0xFE,,
26.5942030000,0x00,,
26.5944391875,0x3B,,
26.5944843125,0xE7,,
26.5945398750,0x04,,
26.5945850000,0x00,,
26.5946301875,0x0D,,
26.5947378125,0x3F,,
26.5949705000,0x05,,
26.5950156875,0x00,,
26.5950712500,0xEF,,
26.5951163750,0x8F,,
26.5951615000,0x07,,
26.5952656875,0x00,,
26.5955018750,0x7D,,
26.5955470000,0x1A,,
26.5956025625,0x0A,,
26.5956477500,0x00,,
26.5956928750,0x44,,
26.5958005625,0x8B,,
26.5960332500,0x0C,,
26.5960783750,0x00,,
26.5961339375,0xD4,,
26.5961790625,0xBF,,
26.5962242500,0x11,,
26.5963284375,0x00,,
26.5965645625,0xCC,,
26.5966097500,0x96,,
26.5966653125,0x09,,
26.5967104375,0x00,,
26.5967555625,0x24,,
26.5968632500,0x10,,
26.5970959375,0x0B,,
26.5971410625,0x00,,
26.5971966250,0xDB,,
26.5972418125,0xE9,,
26.5972869375,0x05,,
26.5973911250,0x00,,
26.5976273125,0xC0,,
26.5976724375,0x7E,,
26.5977280000,0x95,,
26.5977731250,0x00,,
26.5978183125,0x0D,,
26.5979259375,0xD1,,
26.5981586250,0x11,,
26.5982038125,0x00,,
26.5982593750,0x00,,
26.5983045000,0x00,,
26.5983496250,0x00,,
26.5984538125,0xFF,,
26.5986900000,0xFF,,
26.5987351250,0x22,,
26.5987906875,0x81,,
27.5880074375,0x01,,
27.5880525625,0x13,,
27.5881081875,0x77,,
27.5881533125,0xFF,,
27.5881984375,0x80,,
27.5882436250,0x00,,
27.5883269375,0x77,,
27.5885596250,0x00,,
27.5886048125,0x0D,,
27.5886638125,0x00,,
27.5887090000,0x12,,
27.5887541250,0x00,,
27.5888583125,0x15,,
27.5890910000,0x00,,
27.5891361250,0x19,,
27.5891916875,0x00,,
27.5892368750,0x26,,
27.5892820000,0x00,,
27.5893896875,0x31,,
27.5896223125,0x00,,
27.5896675000,0x3F,,
27.5897265000,0x00,,
27.5897716875,0x4E,,
27.5898168125,0x00,,
27.5899210000,0x5C,,
27.5901536875,0x00,,
27.5901988125,0x6C,,
27.5902544375,0x00,,
27.5902995625,0x7E,,
27.5903446875,0x00,,
27.5904523750,0x90,,
27.5906850625,0x00,,
27.5907301875,0xA0,,
27.5907857500,0x00,,
27.5908309375,0xB7,,
27.5908760625,0x01,,
27.5909836875,0x2D,,
27.5912163750,0x01,,
27.5912615625,0xE3,,
27.5913205625,0x03,,
27.5913657500,0xFF,,
27.5914108750,0xA3,,
27.5915116250,0x82,,
27.5917477500,0x00,,
27.5918241875,0x00,,
27.5920186250,0xA3,,
27.5920638125,0x82,,
27.5921089375,0x00,,
27.5922131250,0x00,,
27.5924492500,0x34,,
27.5924944375,0xB2,,
27.5925395625,0x0E,,
27.5925847500,0x00,,
27.5926298750,0xCF,,
27.5926750000,0x66,,
27.5927201875,0xF5,,
27.5927653125,0x00,,
27.5928104375,0x30,,
